EpisodeTitle,Season,AirOrderInSeason,MonsterOfTheWeek,MOTWGrade,Mythology,Comedy,GuestStars,OtherCreativeTalent,WhoIsScully,WhoIsMulder,Commentary,RecurringCharacters,SRR,NoMulderOrScully,Date added,ID
Redrum,8,6,TRUE,B,,,"Joe Morton, Bellamy Young, Danny Trejo",,,,Scandal fans might enjoy this because of the guest stars. Joe Morton and Bellamy Young own this episode.,John Doggett,,TRUE,2016-04-08,168
Via Negativa,8,7,TRUE,C,,,James Pickens Jr.,Frank Spotnitz,,,Lots of blood and people with their heads bashed in. Just a warning.,"John Doggett, Assistant Director Skinner, Alvin Kersh, The Lone Gunmen, Agent Crane",,TRUE,2016-04-08,169
Surekill,8,8,TRUE,C,,,,,,,,John Doggett,,TRUE,2016-04-08,170
Salvage,8,9,TRUE,D,,,"Wade Williams, Arye Gross",,,,,John Doggett,,TRUE,2016-04-08,171
Badlaa,8,10,TRUE,C,,,Michael Welch,,,,,"John Doggett, Chuck Burks",,TRUE,2016-04-08,172
The Gift,8,11,TRUE,D,TRUE,,"Caroline Lagerfelt, Michael McGrady",Frank Spotnitz,,TRUE,Mulder's in this episode; Scully's not.,"John Doggett, Assistant Director Skinner, The Lone Gunmen",,TRUE,2016-04-08,173
Medusa,8,12,TRUE,B,,,"Penny Johnson Jerald, Brent Sexton, Ken Jenkins, Judith Scott",Frank Spotnitz,,,,John Doggett,,TRUE,2016-04-08,174
Per Manum,8,13,,n/a,TRUE,,"Megan Follows, Adam Baldwin",,TRUE,,,"John Doggett, Assistant Director Skinner, Knowle Rohrer, Duffy Haskell, Dr. Parenti, Dr. Lev",,,2016-04-08,175
This Is Not Happening,8,14,,n/a,TRUE,,"Roy Thinnes, Eddie Kaye Thomas",,,,Annabeth Gish makes her first appearance!,"John Doggett, Assistant Director Skinner, Monica Reyes, Jeremiah Smith, Absalom, Theresa Nemman Hoese, Richie Szalay, Gary",TRUE,,2016-04-08,176
Deadalive,8,15,,n/a,TRUE,,James Pickens Jr.,,,TRUE,,"John Doggett, Assistant Director Skinner, Alvin Kersh, The Lone Gunmen, Alex Krycek, Billy Miles, Absalom, Margaret Scully",,,2016-04-08,177
Three Words,8,16,,n/a,TRUE,,"James Pickens Jr., Adam Baldwin",,,,,"John Doggett, Assistant Director Skinner, Alvin Kersh, The Lone Gunmen, Knowle Rohrer, Absalom",,,2016-04-08,178
Empedocles,8,17,TRUE,B,,,,,,,Doggett's backstory.,"John Doggett, Monica Reyes",,,2016-04-08,179
Vienen,8,18,,n/a,TRUE,,"James Pickens Jr., Miguel Sandoval, Gregory Cruz, M.C. Gainey",,,,,"John Doggett, Assistant Director Skinner, Alvin Kersh",,,2016-04-08,180
Alone,8,19,TRUE,A,,TRUE,Zach Grenier,Frank Spotnitz,,,Agent Leyla Harrison was named after a prolific X-Files fan fiction writer who passed away.,"John Doggett, Assistant Director Skinner, Agent Leyla Harrison",,,2016-04-08,181
Essence,8,20,,n/a,TRUE,,Frances Fisher,,TRUE,,,"John Doggett, Assistant Director Skinner, Monica Reyes, Alex Krycek, Margaret Scully, Billy Miles, Duffy Haskell, Agent Crane, Dr. Parenti, Dr. Lev",,,2016-04-08,182
Existence,8,21,,n/a,TRUE,,"James Pickens Jr., Adam Baldwin",,TRUE,TRUE,,"John Doggett, Assistant Director Skinner, Monica Reyes, Alex Krycek, Alvin Kersh, The Lone Gunmen, Billy Miles, Knowle Rohrer, Agent Crane, Baby William",TRUE,,2016-04-08,183
Nothing Important Happened Today,9,1,,n/a,TRUE,,"Lucy Lawless, James Pickens Jr., Cary Elwes",,,,Cary Elwes makes his first appearance as Brad Follmer.,"John Doggett, Assistant Director Skinner, Alvin Kersh, Monica Reyes, The Lone Gunmen, Margaret Scully, Brad Follmer, Baby William, Shannon McMahon",,TRUE,2016-04-08,184
Nothing Important Happened Today II,9,2,,n/a,TRUE,,"Lucy Lawless, Adam Baldwin, James Pickens Jr., Cary Elwes",,,,,"John Doggett, Assistant Director Skinner, Alvin Kersh, Monica Reyes, The Lone Gunmen, Brad Follmer, Baby William, Shannon McMahon, Knowle Rohrer",,TRUE,2016-04-08,185
Daemonicus,9,3,TRUE,C,,,James Remar,Frank Spotnitz,,,A very graphic and disgusting puke scene in the vein of The Exorcist.,"John Doggett, Monica Reyes",TRUE,TRUE,2016-04-08,186
4-D,9,4,TRUE,B,,,Cary Elwes,,,,Some great Dogget/Reyes relationship stuff.,"John Doggett, Monica Reyes, Assistant Director Skinner, Brad Follmer",,TRUE,2016-04-08,187
Lord of the Flies,9,5,TRUE,A,,TRUE,"Jane Lynch, Aaron Paul, Samaire Armstrong, Hank Harris",,,,I believe this is where Vince Gilligan first worked with Aaron Paul.,"John Doggett, Monica Reyes",,TRUE,2016-04-08,188
Trust No 1,9,6,,n/a,TRUE,,"Terry O'Quinn, Kathryn Joosten, Allison Smith",,,,,"John Doggett, Monica Reyes, Baby William",,TRUE,2016-04-08,189
John Doe,9,7,TRUE,C,,FALSE,James Pickens Jr.,"Michelle MacLaren, Vince Gilligan",,,"More of Doggett's backstory. Doggett's wife is played by Robert Patrick's wife in real life, Barbara Patrick. Directed by a woman.","John Doggett, Monica Reyes, Assistant Director Skinner, Alvin Kersh, Barbara Doggett",,TRUE,2016-04-08,190
Hellbound,9,8,TRUE,C,,,,,,,,"John Doggett, Monica Reyes",TRUE,TRUE,2016-04-08,191
Provenance,9,9,,n/a,TRUE,,"Cary Elwes, Neal McDonough, McNally Sagal, Alan Dale, James Pickens Jr.",,TRUE,,,"John Doggett, Monica Reyes, Assistant Director Skinner, Alvin Kersh, Brad Follmer, The Lone Gunmen, Margaret Scully, Baby William, Robert Comer, Lone Man, Overcoat Woman, Toothpick Man",TRUE,TRUE,2016-04-08,192
Providence,9,10,,n/a,TRUE,,"Cary Elwes, Neal McDonough, McNally Sagal, Alan Dale, James Pickens Jr.",,TRUE,,,"John Doggett, Monica Reyes, Assistant Director Skinner, Alvin Kersh, Brad Follmer, The Lone Gunmen, Baby William, Robert Comer, Lone Man, Overcoat Woman, Toothpick Man",TRUE,TRUE,2016-04-08,193
Audrey Pauley,9,11,TRUE,B,,,Jack Blessing,,,,,"John Doggett, Monica Reyes",,TRUE,2016-04-08,194
Underneath,9,12,TRUE,B,FALSE,,"W. Earl Brown, Arthur J. Nascarella",,,,,"John Doggett, Monica Reyes",,TRUE,2016-04-08,195
Improbable,9,13,TRUE,A,,TRUE,"Burt Reynolds, Ellen Greene, John Kapelos",Chris Carter,,,,"John Doggett, Monica Reyes, Baby William",TRUE,TRUE,2016-04-08,196
Scary Monsters,9,14,TRUE,A,,TRUE,"Brian Poth, Steve Ryan",,,,,"John Doggett, Monica Reyes, Agent Leyla Harrison",,TRUE,2016-04-08,197
Jump the Shark,9,15,,n/a,TRUE,TRUE,"Michael McKean, Zuleikha Robinson, Stephen Snedden, Marcus Giamatti",,,,,"John Doggett, Monica Reyes, Assistant Director Skinner, The Lone Gunmen, Morris Fletcher",,TRUE,2016-04-08,198
William,9,16,,n/a,TRUE,,,David Duchovny,TRUE,,Directed by David Duchovny.,"John Doggett, Monica Reyes, Assistant Director Skinner, Jeffrey Spender, Baby William",TRUE,TRUE,2016-04-08,199
Release,9,17,TRUE,B,,,Cary Elwes,,,,Closure for John Doggett.,"John Doggett, Monica Reyes, Brad Follmer, Barbara Doggett",,TRUE,2016-04-08,200
Sunshine Days,9,18,TRUE,A,,TRUE,"Michael Emerson, David Faustino, John Aylward",Vince Gilligan,,,This is one of my personal favorites.,"John Doggett, Monica Reyes, Assistant Director Skinner",,TRUE,2016-04-08,201
The Truth,9,19,,n/a,TRUE,,"Laurie Holden, Adam Baldwin, Matthew Glave, Alan Dale, William Devane, James Pickens Jr.",,TRUE,TRUE,,"John Doggett, Monica Reyes, Assistant Director Skinner, Alex Krycek, Cigarette Smoking Man, The Lone Gunmen, Jeffrey Spender, Marita Covarrubias, Alvin Kersh, Gibson Praise, X, Knowle Rohrer, Toothpick Man",,,2016-04-08,202
The X-Files: I Want to Believe,,,TRUE,C,,,"Amanda Peet, Billy Connolly, Xzibit",,,,,Assistant Director Skinner,,,2016-04-08,203
My Struggle,10,1,,,TRUE,,"Joel McHale, Annet Mahendru",Chris Carter,,,,"Assistant Director Skinner, Tad O'Malley, Cigarette Smoking Man",,,2016-04-08,204
Founder's Mutation,10,2,TRUE,B,TRUE,,"Doug Savant, Rebecca Wisocky, Omari Newton, Christine Willes, Ryan Robbins, Aaron Douglas, Vik Sahay, Kacey Rohl",,TRUE,TRUE,,"Assistant Director Skinner, Baby William",,,2016-04-08,205
Mulder and Scully Meet the Were-Monster,10,3,TRUE,A,,TRUE,"Rhys Darby, Kumail Nanjiani, Tyler Labine",Darin Morgan,,,,"Stoner, Stoner Chick",,,2016-04-08,206
Home Again,10,4,TRUE,B,TRUE,,"Tim Armstrong, Alessandro Juliani",,TRUE,,,Margaret Scully,,,2016-04-08,207
Babylon,10,5,TRUE,B,,,"Lauren Ambrose, Robbie Amell, Stephen Lobo",Chris Carter,,,,"Assistant Director Skinner, Cigarette Smoking Man, The Lone Gunmen, Agent Einstein, Agent Miller",,,2016-04-08,208
My Struggle II,10,6,,,TRUE,,"Joel McHale, Lauren Ambrose, Robbie Amell, Julian Christopher",Chris Carter,,,,"Assistant Director Skinner, Monica Reyes, Cigarette Smoking Man, Tad O'Malley, Agent Einstein, Agent Miller",,,2016-04-08,209
My Struggle III,11,1,,,TRUE,,"Barbara Hershey, Anjali Jay, A. C. Peterson",Chris Carter,,,,"Assistant Director Skinner, Monica Reyes, Jeffrey Spender, Cigarette Smoking Man, Mr. Y, Erika Price",,,2021-03-05,210
Kitten,11,6,TRUE,C,,,"James Pickens Jr., Haley Joel Osment",Carol Banker,,,Directed by a woman!,"Assistant Director Skinner, Alvin Kersh",,,2021-03-05,215
Familiar,11,8,TRUE,B,,,"Alex Carter, Jason Gray-Stanford, Erin Chambers, Sharon Taylor, Roger Cross, Sebastian Billingsly-Rodriguez, Emma Oliver",Holly Dale,,,"A classically ""X-Files"" episode. Directed by a woman!",,,,2021-03-05,217
Rm9sbG93ZXJz,11,7,TRUE,A,,TRUE,,"Kristen Cloke, Shannon Hamblin",,,You can't multi-task while watching this episode. It's genius. And written by women.,,,,2021-03-05,216
Plus One,11,3,TRUE,B,,,Karin Konoval,Kevin Hooks,,,"Karin Konoval had two previous roles in the original series, one as the inbreeding mother in the controversial 4th Season episode ""Home."" Directed by a man of color!",,,,2021-03-05,212
Ghouli,11,5,TRUE,C,TRUE,,"Miles Robbins, Sarah Jeffrey, Madeleine Arthur, Louis Ferreira, Ben Cotton, Zak Santiago, Francois Chau",,TRUE,TRUE,Scully's first encounter with her teenage son.,"Assistant Director Skinner, Jackson Van De Kamp, Mr. Paulsen, Mr. Green, Sarah Turner, Brianna Stapleton, Cigarette Smoking Man",,,2021-03-05,214
Nothing Lasts Forever,11,9,TRUE,B,,,"Fiona Vroom, Jere Burns, Viv Leacock, Samuel Patrick Chu, Genevieve Buechner",Karen Nielsen,,,Written by a woman!,,,,2021-03-05,218
This,11,2,TRUE,D,TRUE,,"Barbara Hershey, Sandrine Holt, Dejan Loyola",,,,,"Richard ""Ringo"" Langley, Assistant Director Skinner, Erika Price",,,2021-03-05,211
My Struggle IV,11,10,,,TRUE,,"James Pickens Jr., Barbara Hershey, Joel McHale, Miles Robbins, Sarah Jeffrey, Madeleine Arthur, A. C. Peterson, Ben Cotton, Zak Santiago, A. C. Petersen, West Duchovny",,TRUE,TRUE,,"Assistant Director Skinner, Monica Reyes, Alvin Kersh, Cigarette Smoking Man, Erika Price, Tad O'Malley, Jackson Van De Kamp, Mr. Y, Mr. Paulsen, Sarah Turner, Brianna Stapleton",,,2021-03-05,219
The Lost Art of Forehead Sweat,11,4,TRUE,A,,TRUE,"Brian Huskey, Stuart Margolin",Darin Morgan,,,,Assistant Director Skinner,,,2021-03-05,213
